Site name,Cat No,Provenance code,X coordinate,Y coordinate,No. of Artefacts,Activity category,act_cat,Material,Material detail,Type,Sub-type,Sub-type,Description,Inscription,Inventory number, Reduced,Date,Stratigraphical info,Period,Building phase,Building phase code,Building phase reduced,Building,Finds complex,Location,Gender ,Gender code,Width (cm),Diam. (cm),Height (cm),Length (cm),Thickness (cm),Weight (g),Other measurement (cm),Fabric,Published illustration (Schönberger 1978 unless otherwise stated),Published reference (by Witz or Ulbert) and parallels
Oberstimm,B0520,9.991030,135.21269,83.68450,1.00,cutting and sharpening,CS,Iron,,Knives,,,Fragment of an iron knife with an arched back and long handle tang; badly corroded; handle tang without discernible rivets.,,"1975, 131 ",131,,upper levels,,Period 1-2?,ZP1_2,P1_2,6,,Fläche 9,male?,ZMa,Blade: max. 3.1   ,,,20.8,,,,,Pl. 34,"Aislingen pl. 28.6. - Burghöfe pl. 53.18. - Rheingönheim pl. 49.11, 12."
Oberstimm,H0011,13.991020,118.02391,109.88465,1.00,cutting and sharpening,CS,Worked stone,sandstone or grey wacke,Whetstones,,,"Whetstone, fragment of fine grained, grey sandstone or greywacke. ",,"1975, 155",155,,beneath Planum 1,,Period 1-2?,ZP1_2,P1_2,7_9,,Fläche 13,male?,ZMa,,,,6,,,,,,
Oberstimm,H0019,15.991030,113.61396,116.96541,1.00,cutting and sharpening,CS,Worked stone,,Whetstones,,,"Stone chisel of green, metamorphous rock (Amphibolith or similar); used as a whetstone. Similar to polished stone on tile G67.",,"1975, 163",163,,upper levels,,Period 1-2?,ZP1_2,P1_2,7,,"Fläche 15, inside northwest corner of the praetorium",male?,ZMa,,,,14.3,,,,,Pl. 115,
Oberstimm,B0525,19.991010,98.94431,145.04040,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Fragment of a small iron knife with decorated bone handle. Handle tang takes up the whole hand width, terminating in an eye, over which both bone handle plates extend. Handle plates attached with two iron rivets. Only commmencement of blade preserved.  ",,"1975, 183",183,,upper levels,,Period 1-2?,ZP1_2,P1_2,3,,"Fläche 19, 7 m from east and 4 m from north",male?,ZMa,Handle: max. 1.5 ,,,7.2,,,,,Pl. 34,Rißtissen I pl. 17.273.
Oberstimm,B0530,19.991200,96.98762,138.46443,1.00,cutting and sharpening,CS,Iron,,Knives,,,Fragment of a half-finished iron knife.  ,,"1975, 182 ",182,,upper levels,,Period 1-2?,ZP1_2,P1_2,3?,,Fläche 19,male?,ZMa,,,,9.4 ; handle: 5 ,,,,,Pl. 34,
Oberstimm,B0529,99.991010,44.46032,27.45267,1.00,cutting and sharpening,CS,Iron,,Knives,,,"Thin strip-shaped iron fragment, rod-shaped at one end; perhaps fragment from a knife with hook-shaped point.  ",,"1975,  357",357,,,,Period 1-2?,ZP1_2,P1_2,Unknown,,Stray find,male?,ZMa,,,,6.4,,,,,,Jacobi in: Ausgr. in Manching 5 (1974) pl. 24.402-405.
Oberstimm,B0364,2.061020,130.20021,119.67108,1.00,dress,D,Iron,,Brooches,Spiral,,Spiral brooch; originally with spiral with over tendons; bow with rectangular section; frame-shaped pierced foot.  ,,"1975, 49 ",49,,beneath Planum 1,Latène,Period 1,P1,P1,7-Street,,Fläche 2f,male,Ma,,,,5.7,,,,,Pl. 27,
Oberstimm,B0373,17.991010,82.53743,82.45647,1.00,dress,D,Copper alloy,,Brooches,Neromarus,,Nertomarusfibel. Robust spiral with completely closed spiral casing with grooved decoration on the sides. Small bulge at the beginning of the bow with indented decoration; long narrow bow of triangular to slightly rhomboid section; pierced pin holder damaged.  ,,"1975, 175 ",175,,Planum 1,Tiberian-Claudian,Period 1,P1,P1,1?,,Fläche 17,male,Ma,Spiral casing: 2.9 ,,,7.4,,,,,Pl. 27,
Oberstimm,B0366,19.991050,85.81605,141.66689,1.00,dress,D,Copper alloy,,Brooches,Almgren 20; Böhme Typ 4,Almgren 20,"Small spiral brooch with over tendon, tendon catches and saftey plate; pin construction missing; of narrow D-shaped section; slightly roof-shaped foot; pin holder takes up full length of foot.  ",,"1975,  195 ",195,,above Planum 2,Claudian-early Flavian,Period 1,P1,P1,Unknown,,"Fläche 19, 7m from north and lm from west",male,Ma,,,,4.3,,,,,Pl. 27,
Oberstimm,B0369,19.991070,90.73406,133.61922,1.00,dress,D,Copper alloy,,Brooches,Almgren group III Stufe 4,Almgren Stufe 4 ,"Augenfibel; badly preserved; originally spirals with over tendons, tendon catches and safety bar; bow of flat triangular section; straight foot; pin holder takes up full length of foot. ",,"1975, 191",191,,beneath Planum 1,Claudian-early Flavian,Period 1,P1,P1,Unknown,,"Fläche 19, 6m from west towards south profile",male,Ma,Bow: 0.7 ,,,5,,,,,Pl. 27,
Oberstimm,B0365,21.990010,87.53276,89.68033,1.00,dress,D,Copper alloy,,Brooches,Almgren 1,Almgren 1,Spiral brooch. Part of a wirefibel with spiral with four windings and under tendon; D-shaped arched bow; pin holder construction of a Middle Latene type with a lightly ribbed cuff around the bow.  ,,"1975, 221",221,,,Claudian-Neronian,Period 1,P1,P1,1,Finds complex 25,"Fläche 21, Räucherkammer a Füllung der jüngeren Anlage",male,Ma,,,,6.8,,,,,"Pls 27, 42",
Oberstimm,B0371,22.991070,88.36533,103.44222,1.00,dress,D,Copper alloy,,Brooches,Almgren group IV,Almgren Gruppe IV,"Robust out-lined spiral brooch with over tendons,  tendon catches and safety plate; spiral with eight windings; trapezoidal bow with a triple out-lined bow knot; long narrow foot, originally with foot knob; frame-shaped pierced pin holder with a crossbar. ",,"1975, 235 ",235,,beneath Planum 1,Tiberian,Period 1,P1,P1,1?,,"Fläche 22, 2.5 m from north and 6 m from east",male,Ma,Bow: max.1.7 ,,,7.8,,,,,"Pls 27, 42",Aislingen and Burghöfe 66 Group l = Kempten I 76.
Oberstimm,B0392,22.991020,83.41889,98.25090,1.00,dress,D,Copper alloy,,Brooches,Disc,,Small disc brooch with 'Backenscharnier'; tin-plated; small round disc bordered with a pair of dolpins; disc with reinforced edge and broken rivet in the centre; longitudinal pin holder.  ,,"1975, 229 ",229,,upper levels,Claudian,Period 1,P1,P1,1,,"Fläche 22, 5 m from west and 2.5 m from south",male?/female?,ZMa_Fe,3.2,Disc: 1.5 ,,,,,,,Pl. 28,
Oberstimm,B0406,4.991120,90.11643,74.01321,1.00,dress,D,Copper alloy,,Pins,Hair,,Fragment of a pin with spherical head.  ,,"1975, 57 ",57,,above Planum 1,,Period 1-2,P1_2,P1_2,1,,"Fläche 4, southwest corner",female,Fe,,Head: 0.9 ,,4.6,,,,,Pl. 28,
Oberstimm,B0407,4.991120,90.11643,74.01321,1.00,dress,D,Copper alloy,,Pins,Hair,,Fragment of a bronze pin or rivet with spherical head.  ,,"1975, 57",57,,above Planum 1,,Period 1-2,P1_2,P1_2,1,,"Fläche 4, southwest corner",female,Fe,,Head: 0.8 ,,1.8,,,,,Pl. 28,Rheingönheim pl. 44.1.
Oberstimm,B0405,13.991010,117.42303,103.94243,1.00,dress,D,Copper alloy,,Pins,Hair,,Fragment of a pin with spherical head.,,"1975, 154 ",154,,,,Period 1-2,P1_2,P1_2,7,,"Fläche 13, south part of west profile",female,Fe,,,,5.2,,,,,Pl. 28,
Oberstimm,B0374,18.991040,114.56679,82.23618,1.00,dress,D,Copper alloy,,Brooches,Hülsenspiral,,"Case-spiral brooch. Pin construction missing. Casing with wolf tooth decoration, only partly preserved. Sharply arched band-shaped bow, outlined. Narrow reinforced edge. Pin holder pierced once.",,"1975, 179",179,1st 1/2 1st cent AD,Planum 1,,Period 1-2,P1_2,P1_2,F_street,,"Fläche 18, 2.5 m from north",female,Fe,Bow: 0.7 ,,,5.5,,,,,Pl. 27,"Haltern: Bodenaltertümer Westfalens 6, 1943, 100 pl. 17.g (similar). - Koblenz Neuendorf: Bonner Jahrb. 107, 1901, 79 fig. 4,23 (similar). - Nijmegen: H. J. H. van Büchern, De Fibulae van Nijmegen I. Inleiding en Kataloog. Bouwsteenen vor een geschiedenis van Nijmegen 3 (1941) pl. 5.27, 29. - Thure ä Sol re sur Sambre (Belgium): Repertoires Arch. (1972) 31 fig. 14.6; 44 fig. 24.3; 50 fig. 31.5. - Avon (Seine et Marne): Gallia 17, 1959, 281 fig. 14 (pin holder pierced). - Marloux bei Mellecey (Saöne et Loire): Gallia 3, 1944, 31 fig. 3. - Marpain (Jura): L. Lerat, Catalogue des collections archeologiques de Besanfon. 2. Les fibules galloromaines. Ann. Litt. Univ. Besancon Ser. 2, 3,1 Archeologie 3, 1956, pl. 5.87."
Oberstimm,B0404,19.991200,96.98762,138.46443,1.00,dress,D,Copper alloy,,Pins,Hair,,"Richly outlined hairpin; tin-plated; the pin ends in a lunate; with two kidney-shaped pierced links, two small eyelets, in each of which hung a small bronze rod with spherical ends. The upper part of the pin is decorated with punched dots. The pin shaft only partly preserved.  ",,"1975, 185",185,,Planum 1,,Period 1-2,P1_2,P1_2,3?,,Fläche 19,female,Fe,,,,8.2,,,,,Pl. 28,"London, Poultry: R.E.M. Wheeler, London in Roman Times. London Mus. Catalogues 3 (1946) 104 fig. 32.3. - London, Walbrook: Guide to the Antiquities of Roman Britain (1964) 27 fig. 14.13 (similar).  - Richborough V pl. 42.167 (similar)."
Oberstimm,B0138,27.991140,192.41745,83.09532,1.00,dress,D,Copper alloy,,Belt plates,,,Fragment from the frame of a rectangular buckle with retracted sides and a knob-like extension at the corners. Buckle bow of trapzoidal section. ,,"1975, 285",285,,upper levels until Planum 1,,Period 1-2,P1_2,P1_2,14_Street,,Fläche 27,female,Fe,2.2,,,2.1,,,,,Pl. 21,
Oberstimm,W0026,99.991050,124.44237,108.95856,1.00,dress,D,Copper alloy,,Brooches,,,"Pierced enamel fibula. Foot has evidence of an animal head, pin missing; enamel black, turquiose blue, orange-yellow and red-brown in rectangular insets.",,,,2nd cent. AD,,,Period 2,P1_2,P1_2,7,,"Building 7, NW area (Witz 1911 - Area B)",female,Fe,,,,2.56,,,,,"Witz, 1911, Blatt 4 no .7","Witz 1911, 13 no. 26 [B.22]."
Oberstimm,W0047,99.991050,124.44237,108.95856,1.00,dress,D,Bone and antler,worked,Pins,Hair,,"Hairpin, head decorated with bust, broken. ",,,,,,,Period 1-2,P1_2,P1_2,7,,"Building 7, NW area (Witz 1911 - Area B)",female,Fe,,,,5.5  (preserved),,,,,"Witz, 1911, Blatt 4 no. 2","Witz, 1911, 15 no. 47 [B.16]"
Oberstimm,B0401,3.000000,70.00000,50.00000,1.00,dress,D,Copper alloy,,Brooches,Spiral,,Pin construction of a spiral brooch with over tendons; spiral with seven windings.  ,,"1975, 54 ",54,,,,Period 1-2,P1_2,P1_2,Fortifications,Finds complex 3,"Fläche 3, fill of the defence trench",male,Ma,Spiral: 2 ,,,5.3,,,,,Pl. 28,
Oberstimm,B0403,8.991110,154.14568,88.72870,1.00,dress,D,Copper alloy,,Brooches,Scharnier,,Pin of a hinged brooch.  ,,"1975, 122",122,,beneath Planum 1,,Period 1-2,P1_2,P1_2,6,,"Fläche 8, 22 m from west and l m from north",male,Ma,,,,4.2,,,,,,
Oberstimm,B0397,8.991160,141.15299,88.96737,1.00,dress,D,Copper alloy,,Brooches,Ring,,"Small ring brooch with mushroom-shaped, out-lined ends; pin missing;  almost complete.   ",,"1975, 118",118,,beneath Planum 1 excavated material,,Period 1-2,P1_2,P1_2,6,,Fläche 8,male,Ma,,2.4,,,,,,,Pl. 28,Hod Hill 1 fig. 11.E 2.
