source,target,type,weight,groups
88,27,undirected,2,07BlackIsland|15LandOfBlackGold|
88,69,undirected,1,07BlackIsland|
88,39,undirected,1,07BlackIsland|
88,20,undirected,3,07BlackIsland|21CastafioreEmerald|23Picaros|
27,69,undirected,1,07BlackIsland|
27,39,undirected,1,07BlackIsland|
27,20,undirected,1,07BlackIsland|
69,39,undirected,1,07BlackIsland|
69,20,undirected,1,07BlackIsland|
39,20,undirected,1,07BlackIsland|
89,65,undirected,1,08KingOttokarsSceptre|
89,42,undirected,1,08KingOttokarsSceptre|
89,21,undirected,3,08KingOttokarsSceptre|16DestinationMoon|17ExplorersOnMoon|
89,11,undirected,8,08KingOttokarsSceptre|13SevenCrystalBalls|15LandOfBlackGold|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|23Picaros|
89,37,undirected,3,08KingOttokarsSceptre|18CalculusAffair|21CastafioreEmerald|
89,55,undirected,3,08KingOttokarsSceptre|09CrabWithGoldenClaws|11SecretOfUnicorn|
76,65,undirected,1,08KingOttokarsSceptre|
76,42,undirected,1,08KingOttokarsSceptre|
76,21,undirected,3,08KingOttokarsSceptre|16DestinationMoon|17ExplorersOnMoon|
76,11,undirected,8,08KingOttokarsSceptre|13SevenCrystalBalls|15LandOfBlackGold|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|23Picaros|
76,37,undirected,3,08KingOttokarsSceptre|18CalculusAffair|21CastafioreEmerald|
76,55,undirected,3,08KingOttokarsSceptre|09CrabWithGoldenClaws|11SecretOfUnicorn|
88,65,undirected,1,08KingOttokarsSceptre|
88,42,undirected,1,08KingOttokarsSceptre|
88,21,undirected,3,08KingOttokarsSceptre|16DestinationMoon|17ExplorersOnMoon|
88,11,undirected,6,08KingOttokarsSceptre|13SevenCrystalBalls|15LandOfBlackGold|18CalculusAffair|21CastafioreEmerald|23Picaros|
88,37,undirected,3,08KingOttokarsSceptre|18CalculusAffair|21CastafioreEmerald|
88,55,undirected,3,08KingOttokarsSceptre|09CrabWithGoldenClaws|11SecretOfUnicorn|
65,42,undirected,1,08KingOttokarsSceptre|
65,21,undirected,1,08KingOttokarsSceptre|
65,11,undirected,1,08KingOttokarsSceptre|
65,37,undirected,1,08KingOttokarsSceptre|
65,55,undirected,1,08KingOttokarsSceptre|
42,21,undirected,1,08KingOttokarsSceptre|
42,11,undirected,1,08KingOttokarsSceptre|
42,37,undirected,1,08KingOttokarsSceptre|
42,55,undirected,1,08KingOttokarsSceptre|
21,11,undirected,1,08KingOttokarsSceptre|
21,37,undirected,1,08KingOttokarsSceptre|
21,55,undirected,1,08KingOttokarsSceptre|
11,37,undirected,3,08KingOttokarsSceptre|18CalculusAffair|21CastafioreEmerald|
11,55,undirected,1,08KingOttokarsSceptre|
37,55,undirected,1,08KingOttokarsSceptre|
89,17,undirected,16,09CrabWithGoldenClaws|10ShootingStar|11SecretOfUnicorn|12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|22Flight714|23Picaros|24AlphArt|
89,58,undirected,1,09CrabWithGoldenClaws|
89,15,undirected,1,09CrabWithGoldenClaws|
76,17,undirected,16,09CrabWithGoldenClaws|10ShootingStar|11SecretOfUnicorn|12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|20Tibet|21CastafioreEmerald|22Flight714|23Picaros|24AlphArt|
76,58,undirected,1,09CrabWithGoldenClaws|
76,15,undirected,1,09CrabWithGoldenClaws|
17,88,undirected,14,09CrabWithGoldenClaws|10ShootingStar|11SecretOfUnicorn|12RedRackhamsTreasure|13SevenCrystalBalls|14PrisonersOfSun|15LandOfBlackGold|16DestinationMoon|17ExplorersOnMoon|18CalculusAffair|19RedSeaSharks|21CastafioreEmerald|23Picaros|24AlphArt|
17,58,undirected,1,09CrabWithGoldenClaws|
17,04,undirected,3,09CrabWithGoldenClaws|19RedSeaSharks|22Flight714|
17,55,undirected,2,09CrabWithGoldenClaws|11SecretOfUnicorn|
17,15,undirected,1,09CrabWithGoldenClaws|
88,58,undirected,1,09CrabWithGoldenClaws|
88,15,undirected,1,09CrabWithGoldenClaws|
58,04,undirected,1,09CrabWithGoldenClaws|
