ID,SF or Cat no,Ctxt ID,Object category,Condition,Obj Type,Firm ID?,Description,Quantity,Height cm,Width cm,Length cm,Depth cm,Diameter cm,Rim dia cm,Base dia cm,Material,Technique,Appearance,Stylistic date,Figure no,Obj Illustration,Out of copyright,Notes,VS parallels
383,PaneasFP11,PanBurntSt8F5,,broken,Jug-Trefoil,Y,,1,,,,,,,,Pottery/ceramic,,clay light red,,7.10:11,1,FALSE,no dimensions given,
385,PaneasFP13,PanBurntSt8F8,,intact,Jug-Trefoil,Y,,1,18.75,,,,11.25,7.5,6.25,Pottery/ceramic,,clay red; clay yellow,,7.10:13,1,FALSE,,
386,PaneasFP14,PanBurntSt8F14,,broken,Jug-Trefoil,Y,,1,10,,,,,6.25,,Pottery/ceramic,,clay red; clay yellow,,7.10:14,1,FALSE,,
387,PaneasFP15,PanBurntSt8F8,,fragmentary,Jug-Trefoil,Y,,1,3.5,,,,,6.25,,Pottery/ceramic,,clay light red,,7.10:15,1,FALSE,,
426,PaneasFL1,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type A - Sussman Type 4 shape; decoration differs,1,,6,8,,,,,Pottery/ceramic,,clay red; clay yellow; discolouration burning,250-300; before 250,8.1.1,1,FALSE,,
1606,PaneasFL2,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type A - Sussman Type 4; 5A or 5B; decoration differs,1,,6,9.5,,,,,Pottery/ceramic,,clay red; clay yellow; discolouration burning,250-300; before 250,8.1.2,1,FALSE,,
1607,PaneasFL3,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type A - Sussman Type 4 shape; decoration differs (similar to type 3),1,,6.5,9,,,,,Pottery/ceramic,,pink,250-300; 300-350; 350-400,8.1.3,1,FALSE,,
1608,PaneasFL4,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type A - Sussman Type 4 shape; decoration differs,1,,6.5,9,,,,,Pottery/ceramic,,clay buff; slip buff; slip grey,250-300; 300-350; 350-400,8.1.4,1,FALSE,,
1609,PaneasFL5,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,7,9.5,,,,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400,8.2.5,1,FALSE,,
1610,PaneasFL6,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,7,10,,,,,Pottery/ceramic,,discolouration burning; light red,250-300; 300-350; 350-400,8.2.6,1,FALSE,,
1611,PaneasFL7,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,7,10,,,,,Pottery/ceramic,,clay pink; discolouration burning,250-300; 300-350; 350-400,8.2.7,1,FALSE,,
1612,PaneasFL8,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,7,10,,,,,Pottery/ceramic,,clay red; clay yellow; discolouration burning,250-300; 300-350; 350-400,8.2.8,1,FALSE,,
1613,PaneasFL9,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,6.5,9.5,,,,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400,8.2.9,1,FALSE,,
1614,PaneasFL10,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,7,10,,,,,Pottery/ceramic,,clay red; clay yellow; slip buff; slip grey,250-300; 300-350; 350-400,8.2.10,1,FALSE,,
1615,PaneasFL11,PanBurntSt8F8,Lighting,fragmentary,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,6,9,,,,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400,8.2.11,1,FALSE,,
1616,PaneasFL12,PanBurntSt8F8,Lighting,fragmentary,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,6,9,,,,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400,8.2.12,1,FALSE,,
1617,PaneasFL13,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type B - resembles Sussman type 6D,1,,5.5,9.5,,,,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400,8.2.13,1,FALSE,,
1618,PaneasFL14,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type C - transition from Sussman type 4 to type 5,1,,6.5,10,,,,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400,8.3.14,1,FALSE,,
1619,PaneasFL15,PanBurntSt8F14,Lighting,broken,Lamp,Y,Paneas Type C - transition from Sussman type 4 to type 5,1,,5.5,9,,,,,Pottery/ceramic,,clay buff,250-300; 300-350; 350-400,8.3.15,1,FALSE,,
1620,PaneasFL16,PanBurntSt8F14,Lighting,broken,Lamp,Y,Paneas Type C - transition from Sussman type 4 to type 5,1,,5.5,9.5,,,,,Pottery/ceramic,,clay red; clay yellow; slip buff; slip grey,250-300; 300-350; 350-400,8.3.16,1,FALSE,,
1621,PaneasFL17,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type C - transition from Sussman type 4 to type 5,1,,6,9.5,,,,,Pottery/ceramic,,clay red; clay yellow,250-300; 300-350; 350-400,8.3.17,1,FALSE,,
1622,PaneasFL18,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type D - Sussman Type 6,1,,7,10,,,,,Pottery/ceramic,,clay buff; clay red; discolouration burning,300-350; 350-400; 400-450,8.4.18,1,FALSE,,
1623,PaneasFL19,PanBurntSt8F14,Lighting,intact,Lamp,Y,Paneas Type D - Sussman Type 6,1,,9.5,6.5,,,,,Pottery/ceramic,,clay buff; clay grey,300-350; 350-400; 400-450,8.4.19,1,FALSE,,
1624,PaneasFL20,PanBurntSt8F8,Lighting,intact,Lamp,Y,Paneas Type D - Sussman Type 6,1,,7,10,,,,,Pottery/ceramic,,clay buff; clay red; discolouration burning,300-350; 350-400; 400-450,8.4.20,1,FALSE,,
1625,PaneasFL21,PanBurntSt8F8,Lighting,broken,Lamp,Y,Paneas Type D - Sussman Type 6,1,,7,10,,,,,Pottery/ceramic,,clay red; clay yellow,300-350; 350-400; 400-450,8.4.21,1,FALSE,,
